cipher,structure,model,architecture,architecture_rank,matching_score,literature,rounds,difference_profile,difference_member,difference_source,gate_mode,samples_per_class,pairs_per_sample,runs,accuracy_mean,accuracy_std,best_accuracy_mean,best_accuracy_std,calibrated_accuracy_mean,calibrated_accuracy_std,auc_mean,auc_std,advantage_mean,advantage_std,calibrated_advantage_mean,calibrated_advantage_std,loss_mean,loss_std
PRESENT-80,SPN,senet_resnext,SE-ResNeXt,3,22,SENet/ResNeXt neural distinguisher literature,5,present_wang_jain2021,0,Wang differentials via Jain/Kohli/Mishra 2020/2021,,32768,4,2,0.5646362305,0.0061340332,0.5693054199,0.0044250488,0.5693054199,0.0044250488,0.5965449857,0.0054966407,0.1292724609,0.0122680664,0.1386108398,0.0088500977,0.6780146826,0.0034728739
SPECK32/64,ARX,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,1,2,0.8426208496,0.000213623,0.8433532715,0.0008239746,0.8433532715,0.0008239746,0.9007461164,0.0001377258,0.6852416992,0.0004272461,0.686706543,0.0016479492,0.4467644468,0.0060316473
SPECK32/64,ARX,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,2,2,0.868560791,0.0032653809,0.871307373,0.0055847168,0.871307373,0.0055847168,0.9345661793,0.0048306175,0.737121582,0.0065307617,0.7426147461,0.0111694336,0.4748720499,0.0086138016
SPECK32/64,ARX,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,4,2,0.9127807617,0.000213623,0.9145355225,7.62939e-05,0.9145355225,7.62939e-05,0.9691860415,0.0002117883,0.8255615234,0.0004272461,0.8290710449,0.0001525879,0.3974733176,0.0262134923
SPECK32/64,ARX,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,1,2,0.648651123,0.0070800781,0.6522216797,0.0037231445,0.6522216797,0.0037231445,0.678887493,0.0002763486,0.2973022461,0.0141601562,0.3044433594,0.0074462891,0.7178394124,0.0157164261
SPECK32/64,ARX,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,2,2,0.6427764893,0.001449585,0.6478881836,0.0038146973,0.6478881836,0.0038146973,0.697421086,0.0030037006,0.2855529785,0.0028991699,0.2957763672,0.0076293945,0.9997218791,0.0046635475
SPECK32/64,ARX,adaptive_dbitnet,Adaptive-DBitNet,5,18,Bellini-style adaptive dilation,6,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,4,2,0.6528167725,0.0014801025,0.6541442871,0.0015258789,0.6541442871,0.0015258789,0.710295395,0.0023864685,0.3056335449,0.0029602051,0.3082885742,0.0030517578,0.9673916548,0.032559894
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,1,2,0.8455657959,0.0023345947,0.8466033936,0.0029144287,0.8466033936,0.0029144287,0.9063306702,0.0062291762,0.6911315918,0.0046691895,0.6932067871,0.0058288574,0.4761425219,0.0032522567
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,2,2,0.920501709,0.0010375977,0.9209899902,0.0009155273,0.9209899902,0.0009155273,0.9711221596,0.0013864199,0.841003418,0.0020751953,0.8419799805,0.0018310547,0.2596395453,0.0047378447
SPECK32/64,ARX,adaptive_dbitnet_pairwise,Pairwise-Adaptive-DBitNet,1,30,Multi-pair neural distinguisher / DBitNet-style,5,speck32_gohr2019,0,Gohr 2019 SPECK32/64 neural distinguisher,,32768,4,2,0.9775848389,0.0004730225,0.9780883789,0.0004577637,0.9780883789,0.0004577637,0.9969967045,7.07172e-05,0.9551696777,0.0009460449,0.9561767578,0.0009155273,0.0934805037,0.0025868854
